Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
AZ;2013-01-11;ME;2013-01-10 22:52:00;2013-01-10 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-11;KF;2013-01-10 23:39:00;2013-01-10 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 11. Januar 2013
AZ;2013-01-11;BU;2013-01-11 00:13:00;2013-01-11 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-11;MO;2013-01-11 00:35:00;2013-01-11 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-11;KE;2013-01-11 01:05:00;2013-01-11 01:42:00;24300;F1;45 g - Standard;;;
AZ;2013-01-12;AL_1;2013-01-11 15:30:00;2013-01-11 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-01-12;IS_9;2013-01-11 17:39:00;2013-01-11 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-01-12;ME_9;2013-01-11 18:09:00;2013-01-11 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-01-12;WE_9;2013-01-11 18:41:00;2013-01-11 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-01-12;FU_9;2013-01-11 19:04:00;2013-01-11 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-01-12;KF_9;2013-01-11 19:28:00;2013-01-11 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-01-12;BU_9;2013-01-11 19:53:00;2013-01-11 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-01-12;KE_9;2013-01-11 20:12:00;2013-01-11 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-01-12;MO_9;2013-01-11 20:48:00;2013-01-11 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-01-12;WE;2013-01-11 21:10:00;2013-01-11 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-12;FU;2013-01-11 21:38:00;2013-01-11 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-12;IS;2013-01-11 22:09:00;2013-01-11 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-12;ME;2013-01-11 22:52:00;2013-01-11 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-12;KF;2013-01-11 23:39:00;2013-01-11 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 12. Januar 2013
AZ;2013-01-12;BU;2013-01-12 00:13:00;2013-01-12 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-12;MO;2013-01-12 00:35:00;2013-01-12 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-12;KE;2013-01-12 01:05:00;2013-01-12 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 13. Januar 2013
AZ;2013-01-14;WE;2013-01-13 21:10:00;2013-01-13 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-14;FU;2013-01-13 21:38:00;2013-01-13 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-14;IS;2013-01-13 22:09:00;2013-01-13 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-14;ME;2013-01-13 22:52:00;2013-01-13 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-14;KF;2013-01-13 23:39:00;2013-01-13 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-01-13;SO;2013-01-13 12:01:00;2013-01-13 12:02:00;1;F2;45 g - Standard;;;
Montag, 14. Januar 2013
AZ;2013-01-14;BU;2013-01-14 00:13:00;2013-01-14 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-14;MO;2013-01-14 00:35:00;2013-01-14 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-14;KE;2013-01-14 01:05:00;2013-01-14 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-01-17;KM_F;2013-01-14 07:10:00;2013-01-14 07:29:00;25124;F1;45 g - Standard;;;
MDG;2013-01-17;KM_B;2013-01-14 07:44:00;2013-01-14 10:48:00;245000;F1;45 g - Standard;;;
MDG;2013-01-16;EP;2013-01-14 13:40:00;2013-01-14 14:14:00;45000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-15;WE;2013-01-14 21:10:00;2013-01-14 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-15;FU;2013-01-14 21:38:00;2013-01-14 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-15;IS;2013-01-14 22:09:00;2013-01-14 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-15;ME;2013-01-14 22:52:00;2013-01-14 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-15;KF;2013-01-14 23:39:00;2013-01-14 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 15. Januar 2013
AZ;2013-01-15;BU;2013-01-15 00:13:00;2013-01-15 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-15;MO;2013-01-15 00:35:00;2013-01-15 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-15;KE;2013-01-15 01:05:00;2013-01-15 01:42:00;24300;F1;45 g - Standard;;;
EX;2013-01-18;EXA_01;2013-01-15 09:10:00;2013-01-15 10:44:00;125000;F1;45 g - Standard;;;
MDG;2013-01-17;Saturn;2013-01-15 11:55:00;2013-01-15 13:05:00;92000;F1;45 g - Standard;;;
WA;2013-01-16;EIS;2013-01-15 14:10:00;2013-01-15 15:06:00;37000;F1;45 g - Standard;;;
WA;2013-01-16;EFU;2013-01-15 15:21:00;2013-01-15 16:01:00;26000;F1;45 g - Standard;;;
AZ;2013-01-16;WE;2013-01-15 21:10:00;2013-01-15 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-16;FU;2013-01-15 21:38:00;2013-01-15 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-16;IS;2013-01-15 22:09:00;2013-01-15 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-16;ME;2013-01-15 22:52:00;2013-01-15 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-16;KF;2013-01-15 23:39:00;2013-01-16 00:16:00;24300;F1;45 g - Standard;;;
Mittwoch, 16. Januar 2013
AZ;2013-01-16;BU;2013-01-16 00:31:00;2013-01-16 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-01-16;MO;2013-01-16 00:53:00;2013-01-16 01:08:00;9700;F1;45 g - Standard;;;
AZ;2013-01-16;KE;2013-01-16 01:23:00;2013-01-16 02:00:00;24300;F1;45 g - Standard;;;
WA;2013-01-17;EKE;2013-01-16 10:10:00;2013-01-16 10:53:00;57000;F1;45 g - Standard;;;
WA;2013-01-17;EKF;2013-01-16 11:08:00;2013-01-16 11:54:00;61000;F1;45 g - Standard;;;
WA;2013-01-17;EME;2013-01-16 12:09:00;2013-01-16 12:46:00;49000;F1;45 g - Standard;;;
MDG;2013-01-18;Papst;2013-01-16 16:10:00;2013-01-16 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-17;WE;2013-01-16 21:10:00;2013-01-16 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-17;FU;2013-01-16 21:38:00;2013-01-16 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-17;IS;2013-01-16 22:09:00;2013-01-16 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-17;ME;2013-01-16 22:52:00;2013-01-16 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-17;KF;2013-01-16 23:39:00;2013-01-17 00:16:00;24300;F1;45 g - Standard;;;
Donnerstag, 17. Januar 2013
AZ;2013-01-17;BU;2013-01-17 00:31:00;2013-01-17 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-01-17;KE;2013-01-17 00:53:00;2013-01-17 01:30:00;24300;F1;45 g - Standard;;;
AZ;2013-01-17;MO;2013-01-17 01:45:00;2013-01-17 02:00:00;9700;F1;45 g - Standard;;;
WA;2013-01-19;ESA_1;2013-01-17 16:40:00;2013-01-17 17:30:00;33000;F1;45 g - Standard;;;
WA;2013-01-19;ESA;2013-01-17 17:45:00;2013-01-17 19:47:00;81000;F1;45 g - Standard;;;
AZ;2013-01-18;WE;2013-01-17 21:10:00;2013-01-17 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-18;FU;2013-01-17 21:38:00;2013-01-17 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-18;IS;2013-01-17 22:09:00;2013-01-17 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-18;ME;2013-01-17 22:52:00;2013-01-17 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-18;KF;2013-01-17 23:39:00;2013-01-17 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 18. Januar 2013
AZ;2013-01-18;BU;2013-01-18 00:13:00;2013-01-18 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-18;MO;2013-01-18 00:35:00;2013-01-18 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-18;KE;2013-01-18 01:05:00;2013-01-18 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-01-24;KM_E;2013-01-18 07:40:00;2013-01-18 08:02:00;29000;F1;45 g - Standard;;;
MDG;2013-01-24;KM_MUC;2013-01-18 08:17:00;2013-01-18 08:56:00;51000;F1;45 g - Standard;;;
MDG;2013-01-24;KM_A;2013-01-18 09:11:00;2013-01-18 10:59:00;143000;F1;45 g - Standard;;;
AZ;2013-01-19;AL_1;2013-01-18 15:30:00;2013-01-18 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-01-19;IS_9;2013-01-18 17:39:00;2013-01-18 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-01-19;ME_9;2013-01-18 18:09:00;2013-01-18 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-01-19;WE_9;2013-01-18 18:41:00;2013-01-18 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-01-19;FU_9;2013-01-18 19:04:00;2013-01-18 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-01-19;KF_9;2013-01-18 19:28:00;2013-01-18 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-01-19;BU_9;2013-01-18 19:53:00;2013-01-18 19:57:00;4400;F1;45 g - Standard;;;
