Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
AZ;2013-03-09;AL_1;2013-03-08 15:30:00;2013-03-08 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-03-09;IS_9;2013-03-08 17:39:00;2013-03-08 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-03-09;ME_9;2013-03-08 18:09:00;2013-03-08 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-03-09;WE_9;2013-03-08 18:41:00;2013-03-08 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-03-09;FU_9;2013-03-08 19:04:00;2013-03-08 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-03-09;KF_9;2013-03-08 19:28:00;2013-03-08 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-03-09;BU_9;2013-03-08 19:53:00;2013-03-08 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-03-09;KE_9;2013-03-08 20:12:00;2013-03-08 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-03-09;MO_9;2013-03-08 20:48:00;2013-03-08 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-03-09;WE;2013-03-08 21:10:00;2013-03-08 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-09;FU;2013-03-08 21:38:00;2013-03-08 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-09;IS;2013-03-08 22:09:00;2013-03-08 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-09;ME;2013-03-08 22:52:00;2013-03-08 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-09;KF;2013-03-08 23:39:00;2013-03-08 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 9. März 2013
AZ;2013-03-09;BU;2013-03-09 00:13:00;2013-03-09 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-09;MO;2013-03-09 00:35:00;2013-03-09 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-09;KE;2013-03-09 01:05:00;2013-03-09 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 10. März 2013
AZ;2013-03-11;WE;2013-03-10 21:10:00;2013-03-10 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-11;FU;2013-03-10 21:38:00;2013-03-10 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-11;IS;2013-03-10 22:09:00;2013-03-10 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-11;ME;2013-03-10 22:52:00;2013-03-10 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-11;KF;2013-03-10 23:39:00;2013-03-10 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-03-10;SO;2013-03-10 12:01:00;2013-03-10 12:02:00;1;F2;45 g - Standard;;;
Montag, 11. März 2013
AZ;2013-03-11;BU;2013-03-11 00:13:00;2013-03-11 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-11;MO;2013-03-11 00:35:00;2013-03-11 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-11;KE;2013-03-11 01:05:00;2013-03-11 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-03-14;KM_F;2013-03-11 07:10:00;2013-03-11 07:29:00;25124;F1;45 g - Standard;;;
MDG;2013-03-14;KM_B;2013-03-11 07:44:00;2013-03-11 10:48:00;245000;F1;45 g - Standard;;;
AZ;2013-03-13;KE_1;2013-03-11 12:40:00;2013-03-11 13:19:00;51500;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-12;WE;2013-03-11 21:10:00;2013-03-11 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-12;FU;2013-03-11 21:38:00;2013-03-11 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-12;IS;2013-03-11 22:09:00;2013-03-11 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-12;ME;2013-03-11 22:52:00;2013-03-11 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-12;KF;2013-03-11 23:39:00;2013-03-11 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 12. März 2013
AZ;2013-03-12;BU;2013-03-12 00:13:00;2013-03-12 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-12;MO;2013-03-12 00:35:00;2013-03-12 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-12;KE;2013-03-12 01:05:00;2013-03-12 01:42:00;24300;F1;45 g - Standard;;;
EX;2013-03-15;EXA_01;2013-03-12 10:10:00;2013-03-12 11:44:00;125000;F1;45 g - Standard;;;
MDG;2013-03-14;Saturn;2013-03-12 11:55:00;2013-03-12 13:05:00;92000;F1;45 g - Standard;;;
WA;2013-03-13;EIS;2013-03-12 14:10:00;2013-03-12 15:06:00;37000;F1;45 g - Standard;;;
WA;2013-03-13;EFU;2013-03-12 15:21:00;2013-03-12 16:01:00;26000;F1;45 g - Standard;;;
AZ;2013-03-13;WE;2013-03-12 21:10:00;2013-03-12 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-13;FU;2013-03-12 21:38:00;2013-03-12 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-13;IS;2013-03-12 22:09:00;2013-03-12 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-13;ME;2013-03-12 22:52:00;2013-03-12 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-13;KF;2013-03-12 23:39:00;2013-03-13 00:16:00;24300;F1;45 g - Standard;;;
Mittwoch, 13. März 2013
AZ;2013-03-13;BU;2013-03-13 00:31:00;2013-03-13 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-03-13;MO;2013-03-13 00:53:00;2013-03-13 01:08:00;9700;F1;45 g - Standard;;;
AZ;2013-03-13;KE;2013-03-13 01:23:00;2013-03-13 02:00:00;24300;F1;45 g - Standard;;;
WA;2013-03-14;EKE;2013-03-13 10:10:00;2013-03-13 10:53:00;57000;F1;45 g - Standard;;;
WA;2013-03-14;EKF;2013-03-13 11:08:00;2013-03-13 11:54:00;61000;F1;45 g - Standard;;;
WA;2013-03-14;EME;2013-03-13 12:09:00;2013-03-13 12:46:00;49000;F1;45 g - Standard;;;
MDG;2013-03-15;Papst;2013-03-13 16:10:00;2013-03-13 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-14;WE;2013-03-13 21:10:00;2013-03-13 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-14;FU;2013-03-13 21:38:00;2013-03-13 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-14;IS;2013-03-13 22:09:00;2013-03-13 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-14;ME;2013-03-13 22:52:00;2013-03-13 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-14;KF;2013-03-13 23:39:00;2013-03-14 00:16:00;24300;F1;45 g - Standard;;;
Donnerstag, 14. März 2013
AZ;2013-03-14;BU;2013-03-14 00:31:00;2013-03-14 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-03-14;KE;2013-03-14 00:53:00;2013-03-14 01:30:00;24300;F1;45 g - Standard;;;
AZ;2013-03-14;MO;2013-03-14 01:45:00;2013-03-14 02:00:00;9700;F1;45 g - Standard;;;
MDG;2013-03-21;KM_E;2013-03-14 07:40:00;2013-03-14 08:02:00;29000;F1;45 g - Standard;;;
MDG;2013-03-21;KM_MUC;2013-03-14 08:17:00;2013-03-14 08:56:00;51000;F1;45 g - Standard;;;
MDG;2013-03-21;KM_A;2013-03-14 09:11:00;2013-03-14 10:59:00;143000;F1;45 g - Standard;;;
HF;2013-03-19;ME_1;2013-03-14 12:40:00;2013-03-14 12:57:00;21300;F1;52 g - UPM Brite 69C;;;
MDG;2013-03-20;Mayer;2013-03-14 14:10:00;2013-03-14 15:56:00;140000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-15;WE;2013-03-14 21:10:00;2013-03-14 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-15;FU;2013-03-14 21:38:00;2013-03-14 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-15;IS;2013-03-14 22:09:00;2013-03-14 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-15;ME;2013-03-14 22:52:00;2013-03-14 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-15;KF;2013-03-14 23:39:00;2013-03-14 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 15. März 2013
AZ;2013-03-15;BU;2013-03-15 00:13:00;2013-03-15 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-15;MO;2013-03-15 00:35:00;2013-03-15 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-15;KE;2013-03-15 01:05:00;2013-03-15 01:42:00;24300;F1;45 g - Standard;;;
WA;2013-03-16;ESA_1;2013-03-15 02:10:00;2013-03-15 03:00:00;33000;F1;45 g - Standard;;;
WA;2013-03-16;ESA;2013-03-15 03:15:00;2013-03-15 05:17:00;81000;F1;45 g - Standard;;;
HF;2013-03-22;ME_1;2013-03-15 11:15:00;2013-03-15 11:51:00;47000;F1;52 g - UPM Brite 69C;;;
HF;2013-03-18;KE_1;2013-03-15 12:10:00;2013-03-15 12:29:00;24300;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-16;AL_1;2013-03-15 15:30:00;2013-03-15 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-03-16;IS_9;2013-03-15 17:39:00;2013-03-15 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-03-16;ME_9;2013-03-15 18:09:00;2013-03-15 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-03-16;WE_9;2013-03-15 18:41:00;2013-03-15 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-03-16;FU_9;2013-03-15 19:04:00;2013-03-15 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-03-16;KF_9;2013-03-15 19:28:00;2013-03-15 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-03-16;BU_9;2013-03-15 19:53:00;2013-03-15 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-03-16;KE_9;2013-03-15 20:12:00;2013-03-15 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-03-16;MO_9;2013-03-15 20:48:00;2013-03-15 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-03-16;WE;2013-03-15 21:10:00;2013-03-15 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-16;FU;2013-03-15 21:38:00;2013-03-15 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-16;IS;2013-03-15 22:09:00;2013-03-15 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-16;ME;2013-03-15 22:52:00;2013-03-15 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-16;KF;2013-03-15 23:39:00;2013-03-15 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 16. März 2013
AZ;2013-03-16;BU;2013-03-16 00:13:00;2013-03-16 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-16;MO;2013-03-16 00:35:00;2013-03-16 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-16;KE;2013-03-16 01:05:00;2013-03-16 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 17. März 2013
AZ;2013-03-18;WE;2013-03-17 21:10:00;2013-03-17 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-18;FU;2013-03-17 21:38:00;2013-03-17 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-18;IS;2013-03-17 22:09:00;2013-03-17 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-18;ME;2013-03-17 22:52:00;2013-03-17 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-18;KF;2013-03-17 23:39:00;2013-03-17 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-03-17;SO;2013-03-17 12:01:00;2013-03-17 12:02:00;1;F2;45 g - Standard;;;
Montag, 18. März 2013
AZ;2013-03-18;BU;2013-03-18 00:13:00;2013-03-18 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-18;MO;2013-03-18 00:35:00;2013-03-18 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-18;KE;2013-03-18 01:05:00;2013-03-18 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-03-21;KM_B;2013-03-18 07:44:00;2013-03-18 10:48:00;245000;F1;45 g - Standard;;;
HF;2013-03-19;KF_1;2013-03-18 11:10:00;2013-03-18 11:30:00;26000;F1;52 g - Standard;;;
HF;2013-03-23;AL_1;2013-03-18 13:10:00;2013-03-18 13:56:00;60000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-19;AL_1;2013-03-18 14:11:00;2013-03-18 15:42:00;120000;F1;52 g - Standard;;;
MDG;2013-03-20;EP;2013-03-18 15:57:00;2013-03-18 16:31:00;45000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-19;WE;2013-03-18 21:10:00;2013-03-18 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-19;FU;2013-03-18 21:38:00;2013-03-18 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-19;IS;2013-03-18 22:09:00;2013-03-18 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-19;ME;2013-03-18 22:52:00;2013-03-18 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-19;KF;2013-03-18 23:39:00;2013-03-18 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 19. März 2013
AZ;2013-03-19;BU;2013-03-19 00:13:00;2013-03-19 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-19;MO;2013-03-19 00:35:00;2013-03-19 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-19;KE;2013-03-19 01:05:00;2013-03-19 01:42:00;24300;F1;45 g - Standard;;;
EX;2013-03-22;EXA_01;2013-03-19 07:10:00;2013-03-19 08:44:00;125000;F1;45 g - Standard;;;
HF;2013-03-22;WE_1;2013-03-19 09:14:00;2013-03-19 09:31:00;22000;F1;70 g - Vertapure;;;
AZ;2013-03-20;AL_1;2013-03-19 10:25:00;2013-03-19 11:43:00;103000;F1;45 g - Standard;;;
MDG;2013-03-21;Saturn;2013-03-19 11:55:00;2013-03-19 13:05:00;92000;F1;45 g - Standard;;;
WA;2013-03-20;EIS;2013-03-19 14:10:00;2013-03-19 15:06:00;37000;F1;45 g - Standard;;;
WA;2013-03-20;EFU;2013-03-19 15:21:00;2013-03-19 16:01:00;26000;F1;45 g - Standard;;;
AZ;2013-03-20;WE;2013-03-19 21:10:00;2013-03-19 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-20;FU;2013-03-19 21:38:00;2013-03-19 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-20;IS;2013-03-19 22:09:00;2013-03-19 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-20;ME;2013-03-19 22:52:00;2013-03-19 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-20;KF;2013-03-19 23:39:00;2013-03-20 00:16:00;24300;F1;45 g - Standard;;;
Mittwoch, 20. März 2013
AZ;2013-03-20;BU;2013-03-20 00:31:00;2013-03-20 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-03-20;MO;2013-03-20 00:53:00;2013-03-20 01:08:00;9700;F1;45 g - Standard;;;
AZ;2013-03-20;KE;2013-03-20 01:23:00;2013-03-20 02:00:00;24300;F1;45 g - Standard;;;
WA;2013-03-21;EKE;2013-03-20 10:10:00;2013-03-20 10:53:00;57000;F1;45 g - Standard;;;
WA;2013-03-21;EKF;2013-03-20 11:08:00;2013-03-20 11:54:00;61000;F1;45 g - Standard;;;
WA;2013-03-21;EME;2013-03-20 12:09:00;2013-03-20 12:46:00;49000;F1;45 g - Standard;;;
MDG;2013-03-22;Papst;2013-03-20 16:10:00;2013-03-20 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-21;WE;2013-03-20 21:10:00;2013-03-20 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-21;FU;2013-03-20 21:38:00;2013-03-20 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-21;IS;2013-03-20 22:09:00;2013-03-20 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-21;ME;2013-03-20 22:52:00;2013-03-20 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-21;KF;2013-03-20 23:39:00;2013-03-21 00:16:00;24300;F1;45 g - Standard;;;
Donnerstag, 21. März 2013
AZ;2013-03-21;BU;2013-03-21 00:31:00;2013-03-21 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-03-21;KE;2013-03-21 00:53:00;2013-03-21 01:30:00;24300;F1;45 g - Standard;;;
AZ;2013-03-21;MO;2013-03-21 01:45:00;2013-03-21 02:00:00;9700;F1;45 g - Standard;;;
HF;2013-03-26;AL_1;2013-03-21 07:10:00;2013-03-21 08:33:00;110000;F1;52 g - UPM Brite 69C;;;
MDG;2013-03-27;KM_B;2013-03-21 09:10:00;2013-03-21 12:14:00;245000;F1;45 g - Standard;;;
MDG;2013-03-27;KM_E;2013-03-21 12:29:00;2013-03-21 12:51:00;29000;F1;45 g - Standard;;;
MDG;2013-03-27;KM_MUC;2013-03-21 13:06:00;2013-03-21 13:45:00;51000;F1;45 g - Standard;;;
MDG;2013-03-27;KM_A;2013-03-21 14:00:00;2013-03-21 15:48:00;143000;F1;45 g - Standard;;;
AZ;2013-03-22;WE;2013-03-21 21:10:00;2013-03-21 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-22;FU;2013-03-21 21:38:00;2013-03-21 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-22;IS;2013-03-21 22:09:00;2013-03-21 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-22;ME;2013-03-21 22:52:00;2013-03-21 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-22;KF;2013-03-21 23:39:00;2013-03-21 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 22. März 2013
AZ;2013-03-22;BU;2013-03-22 00:13:00;2013-03-22 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-22;MO;2013-03-22 00:35:00;2013-03-22 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-22;KE;2013-03-22 01:05:00;2013-03-22 01:42:00;24300;F1;45 g - Standard;;;
WA;2013-03-23;ESA_1;2013-03-22 02:10:00;2013-03-22 03:00:00;33000;F1;45 g - Standard;;;
WA;2013-03-23;ESA;2013-03-22 03:15:00;2013-03-22 05:17:00;81000;F1;45 g - Standard;;;
AZ;2013-03-23;AL_1;2013-03-22 15:30:00;2013-03-22 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-03-23;IS_9;2013-03-22 17:39:00;2013-03-22 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-03-23;ME_9;2013-03-22 18:09:00;2013-03-22 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-03-23;WE_9;2013-03-22 18:41:00;2013-03-22 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-03-23;FU_9;2013-03-22 19:04:00;2013-03-22 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-03-23;KF_9;2013-03-22 19:28:00;2013-03-22 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-03-23;BU_9;2013-03-22 19:53:00;2013-03-22 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-03-23;KE_9;2013-03-22 20:12:00;2013-03-22 20:33:00;27000;F1;45 g - Standard;;;
AZ;2013-03-23;MO_9;2013-03-22 20:48:00;2013-03-22 20:56:00;10200;F1;45 g - Standard;;;
AZ;2013-03-23;WE;2013-03-22 21:10:00;2013-03-22 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-23;FU;2013-03-22 21:38:00;2013-03-22 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-23;IS;2013-03-22 22:09:00;2013-03-22 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-23;ME;2013-03-22 22:52:00;2013-03-22 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-23;KF;2013-03-22 23:39:00;2013-03-22 23:58:00;12300;F1;45 g - Standard;;;
Samstag, 23. März 2013
AZ;2013-03-23;BU;2013-03-23 00:13:00;2013-03-23 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-23;MO;2013-03-23 00:35:00;2013-03-23 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-23;KE;2013-03-23 01:05:00;2013-03-23 01:42:00;24300;F1;45 g - Standard;;;
Sonntag, 24. März 2013
AZ;2013-03-25;WE;2013-03-24 21:10:00;2013-03-24 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-25;FU;2013-03-24 21:38:00;2013-03-24 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-25;IS;2013-03-24 22:09:00;2013-03-24 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-25;ME;2013-03-24 22:52:00;2013-03-24 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-25;KF;2013-03-24 23:39:00;2013-03-24 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-03-24;SO;2013-03-24 12:01:00;2013-03-24 12:02:00;1;F2;45 g - Standard;;;
Montag, 25. März 2013
AZ;2013-03-25;BU;2013-03-25 00:13:00;2013-03-25 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-25;MO;2013-03-25 00:35:00;2013-03-25 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-25;KE;2013-03-25 01:05:00;2013-03-25 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-03-28;KM_F;2013-03-25 07:10:00;2013-03-25 07:29:00;25124;F1;45 g - Standard;;;
MDG;2013-03-27;Saturn;2013-03-25 08:10:00;2013-03-25 09:20:00;92000;F1;45 g - Standard;;;
HF;2013-03-28;KE_1;2013-03-25 09:35:00;2013-03-25 09:54:00;25000;F1;52 g - Standard;;;
HF;2013-03-26;KF_1;2013-03-25 10:09:00;2013-03-25 10:30:00;27000;F1;52 g - Standard;;;
MDG;2013-03-26;Live;2013-03-25 11:25:00;2013-03-25 11:41:00;10000;F1;45 g - Standard;;;
EX;2013-03-29;EXA_01;2013-03-25 11:56:00;2013-03-25 13:30:00;125000;F1;45 g - Standard;;;
AZ;2013-03-26;WE;2013-03-25 21:10:00;2013-03-25 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-26;FU;2013-03-25 21:38:00;2013-03-25 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-26;IS;2013-03-25 22:09:00;2013-03-25 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-26;ME;2013-03-25 22:52:00;2013-03-25 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-26;KF;2013-03-25 23:39:00;2013-03-25 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 26. März 2013
AZ;2013-03-26;BU;2013-03-26 00:13:00;2013-03-26 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-26;MO;2013-03-26 00:35:00;2013-03-26 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-26;KE;2013-03-26 01:05:00;2013-03-26 01:42:00;24300;F1;45 g - Standard;;;
WA;2013-03-27;EKE;2013-03-26 08:10:00;2013-03-26 09:36:00;57000;F1;45 g - Standard;;;
WA;2013-03-27;EKF;2013-03-26 09:51:00;2013-03-26 11:23:00;61000;F1;45 g - Standard;;;
WA;2013-03-27;EME;2013-03-26 11:38:00;2013-03-26 12:52:00;49000;F1;45 g - Standard;;;
WA;2013-03-27;EIS;2013-03-26 13:07:00;2013-03-26 14:03:00;37000;F1;45 g - Standard;;;
WA;2013-03-27;EFU;2013-03-26 14:18:00;2013-03-26 14:58:00;26000;F1;45 g - Standard;;;
MDG;2013-03-29;Papst;2013-03-26 16:10:00;2013-03-26 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-03-27;WE;2013-03-26 21:10:00;2013-03-26 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-27;FU;2013-03-26 21:38:00;2013-03-26 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-27;IS;2013-03-26 22:11:00;2013-03-26 22:39:00;18000;F1;45 g - Standard;;;
AZ;2013-03-27;ME;2013-03-26 22:54:00;2013-03-26 23:26:00;21300;F1;45 g - Standard;;;
AZ;2013-03-27;KF;2013-03-26 23:41:00;2013-03-27 00:18:00;24300;F1;45 g - Standard;;;
Mittwoch, 27. März 2013
AZ;2013-03-27;BU;2013-03-27 00:33:00;2013-03-27 00:40:00;4200;F1;45 g - Standard;;;
AZ;2013-03-27;MO;2013-03-27 00:55:00;2013-03-27 01:10:00;9700;F1;45 g - Standard;;;
AZ;2013-03-27;KE;2013-03-27 01:25:00;2013-03-27 02:02:00;24300;F1;45 g - Standard;;;
MDG;2013-04-04;KM_B;2013-03-27 07:40:00;2013-03-27 10:44:00;245000;F1;45 g - Standard;;;
MDG;2013-04-04;KM_E;2013-03-27 10:59:00;2013-03-27 11:21:00;29000;F1;45 g - Standard;;;
MDG;2013-04-04;KM_MUC;2013-03-27 11:36:00;2013-03-27 12:15:00;51000;F1;45 g - Standard;;;
MDG;2013-04-04;KM_A;2013-03-27 12:30:00;2013-03-27 14:18:00;143000;F1;45 g - Standard;;;
WA;2013-03-30;ESA;2013-03-27 15:40:00;2013-03-27 17:42:00;81000;F1;45 g - Standard;;;
WA;2013-03-30;ESA_1;2013-03-27 17:57:00;2013-03-27 18:47:00;33000;F1;45 g - Standard;;;
AZ;2013-03-28;WE;2013-03-27 21:10:00;2013-03-27 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-03-28;FU;2013-03-27 21:38:00;2013-03-27 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-03-28;IS;2013-03-27 22:09:00;2013-03-27 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-03-28;ME;2013-03-27 22:52:00;2013-03-27 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-03-28;KF;2013-03-27 23:39:00;2013-03-27 23:58:00;12300;F1;45 g - Standard;;;
Donnerstag, 28. März 2013
AZ;2013-03-28;BU;2013-03-28 00:13:00;2013-03-28 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-03-28;MO;2013-03-28 00:35:00;2013-03-28 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-03-28;KE;2013-03-28 01:05:00;2013-03-28 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-04-03;Mayer;2013-03-28 13:10:00;2013-03-28 14:56:00;140000;F1;52 g - UPM Brite 69C;;;
Freitag, 29. März 2013
AZ;2013-03-30;AL_1;2013-03-29 15:30:00;2013-03-29 16:59:00;118000;F1;45 g - Standard;;;
AZ;2013-03-30;IS_9;2013-03-29 17:39:00;2013-03-29 17:54:00;19900;F1;45 g - Standard;;;
AZ;2013-03-30;ME_9;2013-03-29 18:09:00;2013-03-29 18:26:00;22600;F1;45 g - Standard;;;
AZ;2013-03-30;WE_9;2013-03-29 18:41:00;2013-03-29 18:49:00;9300;F1;45 g - Standard;;;
AZ;2013-03-30;FU_9;2013-03-29 19:04:00;2013-03-29 19:13:00;11300;F1;45 g - Standard;;;
AZ;2013-03-30;KF_9;2013-03-29 19:28:00;2013-03-29 19:38:00;13100;F1;45 g - Standard;;;
AZ;2013-03-30;BU_9;2013-03-29 19:53:00;2013-03-29 19:57:00;4400;F1;45 g - Standard;;;
AZ;2013-03-30;KE_9;2013-03-29 20:12:00;2013-03-29 20:33:00;27000;F1;45 g - Standard;;;
